date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:17:21	1657/1657	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/robots.txt		(from )
09:17:21	58370/58370	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2018:25:51%20GMT	https://homer.sii.cl/	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/index.html	(from )
09:17:21	163540/163540	---M--	200	added ('OK')	text/css	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/css/h_general.min.css	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/css/h_general.min.css	(from https://homer.sii.cl/)
09:17:21	81608/81608	---M--	200	added ('OK')	text/css	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/css/h_estilos.css	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/css/h_estilos.css	(from https://homer.sii.cl/)
09:17:22	4405/4405	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Mar%202025%2010:57:35%20GMT	https://homer.sii.cl/responsive/images/logo.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/responsive/images/logo.jpg	(from https://homer.sii.cl/)
09:17:22	1657/1657	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/1943-4661.html	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/1943-4661.html	(from https://homer.sii.cl/)
09:17:22	208737/208737	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Apr%202025%2012:34:58%20GMT	https://homer.sii.cl/img/carrusel_132_58E49.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/carrusel_132_58E49.jpg	(from https://homer.sii.cl/)
09:17:22	69728/69728	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/img/carrusel_1_7FC4D.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/carrusel_1_7FC4D.jpg	(from https://homer.sii.cl/)
09:17:23	40135/40135	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/img/carrusel_1_48F6E.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/carrusel_1_48F6E.jpg	(from https://homer.sii.cl/)
09:17:23	142163/142163	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/img/carrusel_1_7F764.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/carrusel_1_7F764.jpg	(from https://homer.sii.cl/)
09:17:23	176573/176573	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/img/novedades_B53FA.png	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/novedades_B53FA.png	(from https://homer.sii.cl/)
09:17:23	75235/75235	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Apr%202025%2020:59:59%20GMT	https://homer.sii.cl/img/bannercumplimiento.png	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/bannercumplimiento.png	(from https://homer.sii.cl/)
09:17:23	51346/51346	---M--	200	added ('OK')	image/png	date:Mon,%2031%20Mar%202025%2015:09:58%20GMT	https://homer.sii.cl/img/destacados_5583C.png	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/destacados_5583C.png	(from https://homer.sii.cl/)
09:17:24	28393/28393	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Mar%202025%2018:37:32%20GMT	https://homer.sii.cl/img/destacados_2CEF4.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/destacados_2CEF4.jpg	(from https://homer.sii.cl/)
09:17:24	25880/25880	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/img/destacados_DE8D0.png	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/destacados_DE8D0.png	(from https://homer.sii.cl/)
09:17:24	10180/10180	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/img/destacados_B8570.jpg	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/destacados_B8570.jpg	(from https://homer.sii.cl/)
09:17:24	50701/50701	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Mar%202025%2010:57:38%20GMT	https://homer.sii.cl/img/destacados_71206.png	C:/My%20Web%20Sites/sii/sii_copia/homer.sii.cl/img/destacados_71206.png	(from https://homer.sii.cl/)
